,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
0,0,5,242.1,107.8,0.6,133.6
1,0,5,239.0,106.2,0.5,132.3
2,0,5,217.1,100.1,0.7,116.3
3,0,5,227.4,102.4,0.8,124.2
4,0,5,228.9,103.5,0.7,124.7
5,0,5,230.2,104.2,0.8,125.2
6,0,5,231.3,103.9,0.8,126.6
7,0,5,244.9,107.8,0.5,136.6
8,0,5,233.9,103.2,0.7,130.0
9,0,5,236.5,105.5,0.8,130.2
10,0,10,207.2,101.3,0.8,105.0
11,0,10,211.5,102.9,0.5,108.1
12,0,10,193.8,99.2,0.7,93.8
13,0,10,209.2,103.5,0.3,105.3
14,0,10,201.6,100.7,0.5,100.5
15,0,10,217.9,106.2,0.6,111.2
16,0,10,219.7,106.7,0.7,112.2
17,0,10,200.7,100.8,0.5,99.4
18,0,10,211.9,105.7,0.5,105.8
19,0,10,220.2,108.2,0.4,111.7
20,0,15,189.3,99.0,1.1,89.2
21,0,15,199.4,105.4,0.9,93.1
22,0,15,180.7,98.8,1.3,80.6
23,0,15,197.3,101.7,0.7,94.9
24,0,15,180.8,95.9,1.2,83.6
25,0,15,194.4,101.2,0.8,92.4
26,0,15,179.1,98.4,1.0,79.7
27,0,15,194.8,103.1,0.8,90.8
28,0,15,183.5,97.8,0.9,84.7
29,0,15,192.3,101.8,0.7,89.8
30,0,20,178.8,98.2,1.1,79.5
31,0,20,180.0,98.1,1.4,80.6
32,0,20,175.9,97.5,1.1,77.3
33,0,20,181.3,96.4,1.1,83.8
34,0,20,190.5,103.6,1.3,85.5
35,0,20,181.3,98.0,1.0,82.3
36,0,20,182.0,100.7,1.2,80.1
37,0,20,175.8,99.3,1.1,75.4
38,0,20,169.8,95.0,1.2,73.5
39,0,20,177.5,97.5,1.5,78.5
40,0,25,166.0,91.0,2.0,73.0
41,0,25,175.1,94.7,2.1,78.4
42,0,25,167.3,95.1,2.2,70.0
43,0,25,171.8,96.6,2.1,73.0
44,0,25,164.6,93.7,2.2,68.7
45,0,25,175.7,96.6,1.9,77.2
46,0,25,166.5,95.7,2.0,68.7
47,0,25,158.9,89.7,2.5,66.7
48,0,25,161.7,93.3,2.0,66.4
49,0,25,165.8,93.0,2.0,70.7
50,0,30,163.9,93.2,2.6,68.1
51,0,30,152.8,88.4,3.5,60.9
52,0,30,168.7,95.6,2.9,70.2
53,0,30,159.2,89.2,3.1,66.8
54,0,30,169.8,94.2,2.5,73.2
55,0,30,160.7,92.1,3.0,65.6
56,0,30,157.2,90.2,2.9,64.1
57,0,30,163.8,94.4,2.8,66.6
58,0,30,156.2,91.3,3.1,61.8
59,0,30,164.4,90.9,2.6,71.0
60,0,35,153.6,90.6,4.2,58.8
61,0,35,158.3,91.5,4.4,62.5
62,0,35,148.0,86.2,4.9,56.9
63,0,35,142.1,86.9,4.7,50.5
64,0,35,144.1,83.8,5.1,55.2
65,0,35,145.8,85.8,4.6,55.3
66,0,35,155.4,89.0,4.5,61.9
67,0,35,146.9,87.6,4.3,55.0
68,0,35,148.0,88.4,4.6,55.0
69,0,35,146.3,86.8,4.1,55.4
70,0,40,147.3,88.6,6.2,52.6
71,0,40,146.2,88.7,5.7,51.8
72,0,40,142.2,85.9,5.4,50.8
73,0,40,162.7,93.3,5.3,64.1
74,0,40,141.1,87.6,5.6,47.8
75,0,40,146.7,90.0,6.0,50.8
76,0,40,135.6,83.1,6.4,46.0
77,0,40,147.5,89.4,5.9,52.2
78,0,40,144.6,86.8,5.7,52.1
79,0,40,137.8,85.4,5.7,46.7
80,0,45,138.6,86.5,8.2,43.9
81,0,45,138.9,86.8,7.4,44.7
82,0,45,144.0,88.2,7.9,47.9
83,0,45,134.9,82.4,7.5,45.0
84,0,45,142.3,87.9,6.8,47.6
85,0,45,137.8,86.1,7.0,44.6
86,0,45,144.5,89.9,6.1,48.5
87,0,45,141.4,87.0,7.7,46.7
88,0,45,137.0,85.3,7.5,44.2
89,0,45,139.7,85.0,8.2,46.5
90,0,50,138.5,85.2,9.6,43.7
91,0,50,138.8,88.2,10.1,40.4
92,0,50,138.6,85.9,9.5,43.3
93,0,50,138.4,84.6,9.7,44.2
94,0,50,134.0,84.6,9.4,40.1
95,0,50,144.2,89.0,7.8,47.3
96,0,50,131.1,81.8,10.0,39.3
97,0,50,130.5,81.1,9.7,39.8
98,0,50,138.5,86.9,9.3,42.4
99,0,50,142.4,86.7,9.4,46.3
100,0,55,135.6,85.9,11.6,38.0
101,0,55,144.9,91.2,10.2,43.4
102,0,55,136.5,82.3,9.7,44.5
103,0,55,128.3,82.6,13.2,32.6
104,0,55,144.5,88.8,10.6,45.1
105,0,55,134.9,84.2,10.9,39.8
106,0,55,135.8,82.6,10.6,42.6
107,0,55,141.7,87.5,10.5,43.7
108,0,55,136.7,80.8,10.4,45.5
109,0,55,145.7,88.1,10.8,46.9
110,0,60,139.3,84.4,13.1,41.9
111,0,60,137.5,85.5,12.3,39.7
112,0,60,137.2,85.4,13.0,38.7
113,0,60,134.9,84.8,12.5,37.7
114,0,60,134.7,83.2,12.9,38.6
115,0,60,139.6,85.2,12.8,41.6
116,0,60,142.7,87.3,13.1,42.3
117,0,60,143.7,87.0,11.8,44.8
118,0,60,134.3,85.4,13.1,35.8
119,0,60,134.6,82.4,14.1,38.1
120,0,65,134.8,83.1,14.0,37.7
121,0,65,126.4,80.7,15.2,30.6
122,0,65,128.9,78.7,15.9,34.4
123,0,65,132.6,81.2,15.9,35.5
124,0,65,135.7,85.1,15.1,35.6
125,0,65,126.5,79.4,16.1,31.0
126,0,65,134.7,83.1,13.4,38.2
127,0,65,133.1,81.7,14.8,36.5
128,0,65,135.7,85.1,15.0,35.6
129,0,65,129.3,80.3,15.9,33.1
130,0,70,128.9,80.8,16.9,31.3
131,0,70,133.6,84.7,17.7,31.2
132,0,70,131.9,81.1,18.6,32.1
133,0,70,131.1,80.9,15.4,34.8
134,0,70,139.7,87.2,16.8,35.6
135,0,70,134.0,85.2,16.3,32.4
136,0,70,130.7,82.3,17.4,31.0
137,0,70,135.3,82.7,16.8,35.8
138,0,70,135.5,83.4,16.9,35.1
139,0,70,134.9,80.2,16.3,38.4
140,0,75,141.5,86.3,18.2,37.1
141,0,75,126.6,77.9,19.2,29.5
142,0,75,126.3,79.0,20.4,26.9
143,0,75,134.7,82.6,18.4,33.7
144,0,75,134.3,80.8,19.9,33.7
145,0,75,141.4,86.9,18.6,35.8
146,0,75,135.3,83.5,20.3,31.6
147,0,75,136.3,84.8,18.3,33.3
148,0,75,147.3,91.6,17.6,38.1
149,0,75,125.4,80.8,20.3,24.3
150,0,80,137.2,82.0,20.1,35.1
151,0,80,128.7,81.4,23.0,24.3
152,0,80,135.5,82.0,19.5,34.0
153,0,80,136.0,83.9,21.0,31.0
154,0,80,136.0,81.0,21.1,34.0
155,0,80,136.2,82.3,20.4,33.4
156,0,80,138.0,84.9,20.9,32.3
157,0,80,132.8,81.8,21.8,29.1
158,0,80,128.2,79.6,19.7,29.0
159,0,80,133.3,85.1,20.5,27.7
160,0,85,135.3,83.8,24.0,27.5
161,0,85,137.7,84.1,22.7,30.9
162,0,85,135.5,79.2,23.1,33.3
163,0,85,130.5,79.1,24.3,27.1
164,0,85,133.1,83.5,23.8,25.8
165,0,85,134.8,79.7,23.4,31.8
166,0,85,132.7,78.7,23.6,30.4
167,0,85,132.7,82.2,23.1,27.3
168,0,85,137.2,84.5,23.3,29.4
169,0,85,133.8,81.7,24.1,28.0
170,0,90,134.4,83.3,24.7,26.5
171,0,90,137.9,81.8,25.6,30.4
172,0,90,146.3,88.4,23.9,34.1
173,0,90,135.2,80.8,26.6,27.9
174,0,90,137.4,81.8,25.9,29.8
175,0,90,134.2,80.8,26.5,26.9
176,0,90,136.8,81.6,27.2,28.0
177,0,90,136.3,81.9,25.6,28.8
178,0,90,140.9,84.7,24.3,31.8
179,0,90,142.4,83.9,25.5,33.1
180,0,95,141.3,85.8,26.2,29.4
181,0,95,135.6,79.1,28.6,27.8
182,0,95,137.8,82.5,28.0,27.3
183,0,95,136.8,81.6,27.1,28.2
184,0,95,131.1,80.6,27.8,22.8
185,0,95,137.8,84.3,26.2,27.3
186,0,95,136.4,79.9,29.0,27.6
187,0,95,137.0,80.1,27.3,29.6
188,0,95,142.0,81.7,25.9,34.4
189,0,95,137.8,83.7,28.4,25.8
190,0,100,141.8,84.8,29.6,27.3
191,0,100,132.4,79.7,31.8,20.9
192,0,100,134.3,78.8,29.5,26.0
193,0,100,141.1,86.3,29.4,25.4
194,0,100,131.7,80.2,29.4,22.1
195,0,100,138.0,79.6,30.3,28.1
196,0,100,136.7,81.4,31.0,24.3
197,0,100,136.5,79.3,28.5,28.7
198,0,100,138.8,83.6,28.8,26.4
199,0,100,140.1,81.8,29.3,29.0
200,5,5,197.7,99.8,0.7,97.1
201,5,5,204.5,103.2,0.6,100.6
202,5,5,211.7,105.1,0.8,105.8
203,5,5,211.2,105.3,0.5,105.4
204,5,5,207.7,103.3,0.8,103.6
205,5,5,214.1,104.5,0.9,108.7
206,5,5,220.4,106.9,1.2,112.3
207,5,5,217.1,107.1,0.9,109.1
208,5,5,213.8,105.1,0.6,108.1
209,5,5,209.6,103.3,0.9,105.4
210,5,10,194.1,106.4,1.0,86.7
211,5,10,179.6,101.3,1.2,77.1
212,5,10,195.1,106.3,0.6,88.2
213,5,10,188.0,101.9,0.8,85.3
214,5,10,184.8,104.0,1.0,79.7
215,5,10,190.6,103.8,1.0,85.8
216,5,10,182.5,104.3,0.8,77.4
217,5,10,176.8,101.2,0.9,74.6
218,5,10,193.9,104.7,0.7,88.5
219,5,10,180.7,102.2,0.9,77.6
220,5,15,171.9,104.0,1.6,66.2
221,5,15,157.9,95.3,1.7,61.0
222,5,15,170.3,103.6,1.5,65.2
223,5,15,159.7,95.6,1.5,62.7
224,5,15,170.3,101.3,1.6,67.4
225,5,15,170.9,102.4,1.8,66.8
226,5,15,168.5,102.5,1.2,64.8
227,5,15,174.5,103.5,1.3,69.7
228,5,15,176.5,103.5,1.6,71.4
229,5,15,157.2,96.3,1.8,59.0
230,5,20,164.8,101.7,2.1,61.0
231,5,20,151.7,93.1,2.2,56.4
232,5,20,161.3,97.0,2.1,62.2
233,5,20,151.2,93.1,2.6,55.4
234,5,20,162.5,99.1,2.4,60.9
235,5,20,159.9,97.7,2.5,59.6
236,5,20,163.1,100.0,1.8,61.3
237,5,20,159.7,97.6,2.4,59.6
238,5,20,159.8,94.5,2.5,62.8
239,5,20,159.7,95.3,2.3,62.1
240,5,25,142.5,91.9,3.8,46.8
241,5,25,149.6,96.4,3.3,49.9
242,5,25,137.2,85.7,3.8,47.6
243,5,25,153.3,95.5,3.2,54.6
244,5,25,153.8,97.2,3.1,53.5
245,5,25,152.5,97.8,3.0,51.7
246,5,25,149.9,94.0,3.1,52.8
247,5,25,151.7,91.4,3.8,56.5
248,5,25,146.2,92.6,3.4,50.2
249,5,25,146.5,91.1,3.6,51.8
250,5,30,142.2,89.3,5.0,48.0
251,5,30,140.8,89.0,4.9,46.9
252,5,30,150.0,92.8,4.3,52.8
253,5,30,150.8,91.8,4.1,54.9
254,5,30,141.6,90.3,5.1,46.2
255,5,30,154.5,95.3,4.4,54.8
256,5,30,141.7,90.5,4.4,46.8
257,5,30,143.8,91.2,4.9,47.7
258,5,30,141.5,90.0,4.7,46.8
259,5,30,146.6,92.0,5.0,49.6
260,5,35,135.1,85.0,7.4,42.7
261,5,35,143.2,92.6,6.2,44.4
262,5,35,128.4,82.2,6.7,39.5
263,5,35,139.3,88.4,6.6,44.4
264,5,35,133.7,86.9,7.0,39.8
265,5,35,129.3,86.3,6.7,36.3
266,5,35,145.2,94.0,5.8,45.4
267,5,35,146.9,88.2,6.3,52.3
268,5,35,122.8,82.4,7.7,32.7
269,5,35,135.0,88.3,6.4,40.4
270,5,40,127.9,84.5,8.4,35.0
271,5,40,128.9,86.5,8.2,34.2
272,5,40,139.9,88.0,7.8,44.1
273,5,40,142.8,90.4,7.6,44.8
274,5,40,129.7,85.4,8.0,36.3
275,5,40,130.1,84.3,8.2,37.6
276,5,40,137.7,89.8,8.2,39.7
277,5,40,136.9,88.6,7.8,40.4
278,5,40,128.4,84.5,8.5,35.3
279,5,40,138.3,89.7,7.6,41.0
280,5,45,128.7,86.8,9.0,32.9
281,5,45,133.6,86.5,9.2,37.9
282,5,45,136.1,91.2,9.5,35.5
283,5,45,140.8,89.4,9.4,42.1
284,5,45,134.5,89.8,10.0,34.7
285,5,45,132.8,87.4,9.4,36.0
286,5,45,127.2,85.5,10.1,31.6
287,5,45,133.4,87.3,10.0,36.1
288,5,45,140.1,88.9,9.2,42.0
289,5,45,140.2,88.4,10.3,41.5
290,5,50,120.7,81.8,12.8,26.2
291,5,50,133.0,88.3,11.8,32.9
292,5,50,132.2,85.0,11.6,35.6
293,5,50,129.4,85.3,12.2,31.8
294,5,50,133.5,87.9,11.9,33.7
295,5,50,129.5,87.5,12.2,29.9
296,5,50,132.1,88.3,11.5,32.2
297,5,50,135.4,88.4,11.2,35.9
298,5,50,129.8,86.1,12.1,31.6
299,5,50,136.0,87.0,12.8,36.1
300,5,55,139.9,88.9,13.8,37.2
301,5,55,129.1,87.6,13.0,28.5
302,5,55,125.1,81.1,14.1,29.9
303,5,55,128.7,84.8,13.5,30.3
304,5,55,130.0,85.3,13.9,30.8
305,5,55,131.7,87.8,14.2,29.8
306,5,55,129.7,85.7,14.0,30.0
307,5,55,125.0,84.0,14.9,26.2
308,5,55,126.8,83.9,13.8,29.1
309,5,55,131.4,89.0,13.7,28.6
310,5,60,125.6,83.2,16.1,26.3
311,5,60,133.0,86.5,16.1,30.3
312,5,60,125.1,83.2,15.3,26.6
313,5,60,129.7,82.9,16.0,30.9
314,5,60,126.5,83.2,16.3,27.0
315,5,60,131.6,85.7,15.7,30.3
316,5,60,133.7,84.7,15.5,33.5
317,5,60,131.1,82.8,15.9,32.4
318,5,60,127.0,87.1,17.1,22.8
319,5,60,132.5,86.5,15.9,30.2
320,5,65,125.6,84.6,18.3,22.7
321,5,65,124.5,79.3,19.4,25.9
322,5,65,136.2,89.7,16.9,29.6
323,5,65,125.1,82.0,17.8,25.3
324,5,65,125.6,79.6,17.7,28.4
325,5,65,128.2,83.7,18.7,25.8
326,5,65,122.9,79.7,18.5,24.6
327,5,65,127.0,83.0,18.5,25.4
328,5,65,140.0,87.8,16.1,36.1
329,5,65,134.9,86.5,17.7,30.7
330,5,70,125.8,80.6,21.9,23.2
331,5,70,129.2,84.8,20.1,24.4
332,5,70,129.0,82.9,21.1,25.0
333,5,70,135.4,86.5,18.9,30.0
334,5,70,122.9,81.5,19.8,21.6
335,5,70,123.5,80.2,21.4,21.9
336,5,70,129.8,83.1,20.4,26.3
337,5,70,123.9,80.0,21.4,22.5
338,5,70,136.8,87.4,19.4,30.0
339,5,70,132.8,85.8,20.7,26.3
340,5,75,127.0,82.8,22.5,21.7
341,5,75,120.8,76.5,22.3,22.0
342,5,75,122.0,78.4,25.3,18.3
343,5,75,127.8,80.9,21.5,25.5
344,5,75,125.6,81.2,23.2,21.3
345,5,75,139.3,87.6,20.7,30.9
346,5,75,125.6,81.4,21.8,22.4
347,5,75,132.2,85.6,22.9,23.7
348,5,75,127.2,81.8,22.3,23.1
349,5,75,127.0,82.1,23.0,21.9
350,5,80,130.6,83.7,23.2,23.7
351,5,80,137.9,89.0,24.4,24.5
352,5,80,132.6,84.7,22.9,25.0
353,5,80,127.8,81.7,26.6,19.5
354,5,80,133.2,84.8,25.5,23.0
355,5,80,131.9,85.0,25.4,21.5
356,5,80,131.0,85.4,25.0,20.6
357,5,80,125.6,82.0,24.9,18.6
358,5,80,128.0,79.6,25.8,22.6
359,5,80,126.3,81.7,24.6,20.1
360,5,85,137.1,82.9,26.5,27.7
361,5,85,137.4,84.6,27.3,25.5
362,5,85,130.9,81.2,27.4,22.3
363,5,85,133.3,84.5,27.1,21.8
364,5,85,121.2,77.5,27.5,16.2
365,5,85,134.9,85.4,26.8,22.7
366,5,85,135.5,87.0,27.2,21.3
367,5,85,127.2,81.4,27.8,18.0
368,5,85,133.8,81.6,26.7,25.5
369,5,85,126.9,77.7,28.2,21.0
370,5,90,130.8,81.1,28.7,21.0
371,5,90,131.6,82.5,30.1,19.0
372,5,90,129.0,80.1,29.6,19.3
373,5,90,130.2,80.4,29.4,20.4
374,5,90,134.0,80.4,28.1,25.6
375,5,90,126.9,79.5,28.3,19.1
376,5,90,133.7,83.6,27.5,22.6
377,5,90,131.8,83.0,29.2,19.6
378,5,90,129.2,80.8,29.2,19.1
379,5,90,136.1,86.0,28.0,22.1
380,5,95,130.5,80.2,32.6,17.7
381,5,95,126.6,77.2,32.9,16.6
382,5,95,138.2,81.5,31.3,25.4
383,5,95,131.1,82.6,32.0,16.6
384,5,95,130.5,80.2,31.5,18.9
385,5,95,123.9,76.3,33.4,14.1
386,5,95,128.0,79.4,31.6,16.9
387,5,95,136.1,84.2,30.4,21.4
388,5,95,135.9,83.9,30.5,21.6
389,5,95,132.6,81.2,31.7,19.7
390,5,100,141.0,86.2,32.9,21.9
391,5,100,139.0,83.0,30.5,25.5
392,5,100,131.1,80.3,34.4,16.5
393,5,100,128.8,77.3,35.8,15.7
394,5,100,137.4,82.9,35.4,19.1
395,5,100,134.6,81.5,34.3,18.8
396,5,100,130.9,78.6,34.6,17.6
397,5,100,136.1,82.1,33.5,20.6
398,5,100,133.2,78.9,33.9,20.3
399,5,100,138.0,84.4,34.1,19.6
400,10,5,184.2,102.5,1.3,80.3
401,10,5,191.1,105.0,0.8,85.3
402,10,5,188.5,104.8,0.8,82.9
403,10,5,192.4,105.5,0.9,86.0
404,10,5,180.5,101.7,1.6,77.2
405,10,5,176.2,101.3,0.9,74.0
406,10,5,185.9,103.7,0.8,81.4
407,10,5,175.4,101.0,0.9,73.5
408,10,5,184.5,103.5,1.0,80.0
